epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.568,1.21807,2.67984,1.43985,0.49028,0.46626,0.49239,0.29358,1.27271,1.81422,1.39441,0.000232591,0.000232591,0.000232591
2,155.504,1.13183,1.50312,1.38192,0.56438,0.66902,0.64367,0.39956,1.25524,1.52003,1.41357,0.000439532,0.000439532,0.000439532
3,201.395,1.14198,1.21635,1.37785,0.66388,0.65616,0.72516,0.40519,1.46685,1.50626,1.58209,0.000615057,0.000615057,0.000615057
4,245.88,1.0647,1.09032,1.30174,0.64892,0.66769,0.73474,0.47154,1.27654,1.36041,1.45037,0.000572628,0.000572628,0.000572628
5,291.478,1.02695,0.95055,1.28929,0.75968,0.75788,0.82476,0.52995,1.23097,1.14216,1.41645,0.000525504,0.000525504,0.000525504
6,343.203,0.98936,0.82729,1.25969,0.77457,0.73041,0.81796,0.51539,1.28056,1.13863,1.44455,0.00047838,0.00047838,0.00047838
7,387.536,0.92529,0.75986,1.23186,0.76521,0.82876,0.85764,0.5228,1.3356,1.01967,1.52216,0.000431256,0.000431256,0.000431256
8,434.588,0.93066,0.69521,1.21343,0.80767,0.78651,0.86467,0.55573,1.24285,0.96885,1.42368,0.000384132,0.000384132,0.000384132
9,483.968,0.89354,0.6347,1.20169,0.82408,0.81455,0.89074,0.58125,1.23342,0.92866,1.40881,0.000337008,0.000337008,0.000337008
10,529.418,0.86118,0.58572,1.18257,0.88316,0.76411,0.90774,0.61573,1.16351,0.89262,1.37014,0.000289884,0.000289884,0.000289884
11,579.111,0.86209,0.57529,1.16577,0.85801,0.82759,0.89052,0.58927,1.21503,0.8683,1.38637,0.00024276,0.00024276,0.00024276
12,624.374,0.81453,0.52549,1.146,0.84439,0.86419,0.9063,0.61431,1.17152,0.78652,1.35863,0.000195636,0.000195636,0.000195636
13,672.05,0.78988,0.48918,1.11739,0.85858,0.86849,0.91083,0.60381,1.20932,0.79482,1.39096,0.000148512,0.000148512,0.000148512
14,726.379,0.77666,0.48253,1.11886,0.88518,0.84402,0.91975,0.61857,1.15273,0.76972,1.35038,0.000101388,0.000101388,0.000101388
15,775.55,0.75042,0.45893,1.11428,0.87487,0.84853,0.91668,0.61473,1.14646,0.74992,1.34539,5.4264e-05,5.4264e-05,5.4264e-05
