epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.303,1.43057,2.88442,1.99475,0.09061,0.43704,0.11658,0.07386,1.58149,2.73245,2.09564,0.000232591,0.000232591,0.000232591
2,594.08,1.24711,2.23076,1.77572,0.08827,0.60648,0.12043,0.07103,1.48934,2.47936,1.95676,0.000461273,0.000461273,0.000461273
3,847.816,1.21947,2.2035,1.7242,0.08375,0.8076,0.12578,0.07629,1.41241,2.30767,1.94541,0.000680531,0.000680531,0.000680531
4,1103.47,1.1647,2.18529,1.68428,0.09283,0.58497,0.13353,0.0839,1.46118,2.26024,1.98474,0.000671588,0.000671588,0.000671588
5,1355.45,1.16361,2.11774,1.67023,0.08959,0.61822,0.12562,0.07895,1.42833,2.319,1.9498,0.000657451,0.000657451,0.000657451
6,1602.58,1.10482,2.10049,1.61466,0.07247,0.90916,0.12556,0.0761,1.29094,2.189,1.8515,0.000643314,0.000643314,0.000643314
7,1841.62,1.06657,2.07381,1.60496,0.08137,0.79218,0.12224,0.07704,1.36704,2.33653,1.91301,0.000629177,0.000629177,0.000629177
8,2084.57,1.06335,2.03739,1.61241,0.07608,0.92193,0.12765,0.07768,1.36791,2.14987,1.84286,0.00061504,0.00061504,0.00061504
9,2325.62,1.01253,1.99804,1.56489,0.08617,0.74495,0.13629,0.08485,1.39252,2.20812,1.93292,0.000600902,0.000600902,0.000600902
10,2562.82,1.00873,1.98177,1.52554,0.09169,0.76811,0.13431,0.08726,1.31233,2.15273,1.82513,0.000586765,0.000586765,0.000586765
11,2807.16,1.00431,1.97805,1.52412,0.08607,0.85804,0.14104,0.08928,1.39495,2.13893,1.8919,0.000572628,0.000572628,0.000572628
12,3045.54,0.96278,1.94279,1.50162,0.09037,0.85065,0.13787,0.0924,1.34953,2.14145,1.87916,0.000558491,0.000558491,0.000558491
13,3294.23,0.95498,1.95385,1.46555,0.08792,0.82861,0.13024,0.08681,1.31518,2.12345,1.85078,0.000544354,0.000544354,0.000544354
14,3538.64,0.92036,1.92833,1.45989,0.08366,0.85697,0.14826,0.09764,1.35886,2.12698,1.88384,0.000530216,0.000530216,0.000530216
15,3783.71,0.87086,1.88754,1.41189,0.09106,0.84669,0.14679,0.09582,1.37625,2.13157,1.90343,0.000516079,0.000516079,0.000516079
16,4028.31,0.87879,1.88552,1.41085,0.08153,0.88368,0.13234,0.0897,1.3404,2.11406,1.8914,0.000501942,0.000501942,0.000501942
17,4265.31,0.87032,1.9012,1.40493,0.08645,0.84825,0.13655,0.09081,1.33597,2.09822,1.87919,0.000487805,0.000487805,0.000487805
18,4503.15,0.84013,1.88349,1.37564,0.08138,0.88919,0.14534,0.09596,1.40064,2.09856,1.92158,0.000473668,0.000473668,0.000473668
19,4749.22,0.82592,1.88498,1.37213,0.08827,0.86129,0.14755,0.09855,1.37469,2.06724,1.87794,0.00045953,0.00045953,0.00045953
20,4992.08,0.8209,1.8576,1.37847,0.08904,0.87961,0.1374,0.09227,1.31352,2.0785,1.84463,0.000445393,0.000445393,0.000445393
21,5262.63,0.78482,1.85276,1.31417,0.09114,0.87562,0.14336,0.09502,1.30171,2.09106,1.85771,0.000431256,0.000431256,0.000431256
22,5521.79,0.77684,1.84932,1.33448,0.09238,0.82486,0.13469,0.09108,1.31138,2.1243,1.82374,0.000417119,0.000417119,0.000417119
23,5780.27,0.74345,1.83513,1.26755,0.08603,0.88256,0.15537,0.10463,1.3111,2.10251,1.89273,0.000402982,0.000402982,0.000402982
24,6040,0.74487,1.84003,1.29875,0.0861,0.88912,0.13731,0.09151,1.2962,2.07516,1.86168,0.000388844,0.000388844,0.000388844
25,6299.46,0.75212,1.82791,1.30022,0.08576,0.8611,0.1397,0.09284,1.36077,2.07673,1.94757,0.000374707,0.000374707,0.000374707
26,6559.63,0.71154,1.81934,1.26602,0.08403,0.87133,0.15006,0.10306,1.29912,2.04649,1.87055,0.00036057,0.00036057,0.00036057
27,6821.28,0.70258,1.81916,1.24957,0.08897,0.8761,0.13979,0.09391,1.28254,2.0389,1.84815,0.000346433,0.000346433,0.000346433
28,7082.96,0.70682,1.81963,1.25331,0.08655,0.90787,0.14235,0.09501,1.35869,2.08353,1.94935,0.000332296,0.000332296,0.000332296
